"Date","Price","Open","High","Low","Change %"
"May 20, 1999","274.45","273.25","274.45","274.45","0.48%"
"May 19, 1999","273.15","273.85","273.15","273.15","-0.33%"
"May 18, 1999","274.05","275.65","274.05","274.05","-0.15%"
"May 17, 1999","274.45","275.90","274.45","274.45","-0.54%"
"May 14, 1999","275.95","277.65","275.95","275.95","-0.65%"
"May 13, 1999","277.75","277.15","277.75","277.75","0.25%"
"May 12, 1999","277.05","278.05","277.05","277.05","-0.43%"
"May 11, 1999","278.25","278.25","278.25","278.25","0.07%"
"May 10, 1999","278.05","282.35","278.05","278.05","-1.66%"
"May 07, 1999","282.75","289.05","282.75","282.75","-2.28%"
"May 06, 1999","289.35","287.05","289.35","289.35","0.70%"
"May 05, 1999","287.35","285.75","287.35","287.35","0.63%"
"May 04, 1999","285.55","286.45","285.55","285.55","-0.28%"
"May 03, 1999","286.35","286.25","286.35","286.35","-0.10%"
"Apr 30, 1999","286.65","285.75","286.65","286.65","0.21%"
"Apr 29, 1999","286.05","282.90","286.05","286.05","1.17%"
"Apr 28, 1999","282.75","281.95","282.75","282.75","0.27%"
"Apr 27, 1999","282.00","281.15","282.00","282.00","0.27%"
"Apr 26, 1999","281.25","283.45","281.25","281.25","-0.81%"
"Apr 23, 1999","283.55","283.55","283.55","283.55","0.00%"
"Apr 22, 1999","283.55","283.75","283.55","283.55","-0.11%"
"Apr 21, 1999","283.85","284.35","283.85","283.85","-0.18%"
"Apr 20, 1999","284.35","284.55","284.35","284.35","-0.07%"
"Apr 19, 1999","284.55","283.25","284.55","284.55","0.25%"
"Apr 16, 1999","283.85","283.95","283.85","283.85","-0.05%"
"Apr 15, 1999","284.00","282.25","284.00","284.00","0.91%"
"Apr 14, 1999","281.45","283.55","281.45","281.45","-0.67%"
"Apr 13, 1999","283.35","282.50","283.35","283.35","0.18%"
"Apr 12, 1999","282.85","281.55","282.85","282.85","0.46%"
"Apr 09, 1999","281.55","280.55","281.55","281.55","0.32%"
"Apr 08, 1999","280.65","280.25","280.65","280.65","0.11%"
"Apr 07, 1999","280.35","280.05","280.35","280.35","0.13%"
"Apr 06, 1999","280.00","278.35","280.00","280.00","0.56%"
"Apr 05, 1999","278.45","279.30","278.45","278.45","-0.29%"
"Apr 02, 1999","279.25","279.75","279.25","279.25","-0.43%"
"Apr 01, 1999","280.45","280.10","280.45","280.45","0.14%"
"Mar 31, 1999","280.05","279.25","280.05","280.05","0.29%"
"Mar 30, 1999","279.25","280.25","279.25","279.25","-0.39%"
"Mar 29, 1999","280.35","279.90","280.35","280.35","0.21%"
"Mar 26, 1999","279.75","283.25","279.75","279.75","-1.31%"
"Mar 25, 1999","283.45","283.85","283.45","283.45","-0.21%"
"Mar 24, 1999","284.05","284.55","284.05","284.05","-0.18%"
"Mar 23, 1999","284.55","284.65","284.55","284.55","0.04%"
"Mar 22, 1999","284.45","284.45","284.45","284.45","0.07%"
"Mar 19, 1999","284.25","283.10","284.25","284.25","0.35%"
"Mar 18, 1999","283.25","284.10","283.25","283.25","-0.25%"
"Mar 17, 1999","283.95","284.05","283.95","283.95","0.11%"
"Mar 16, 1999","283.65","286.95","283.65","283.65","-1.13%"
"Mar 15, 1999","286.90","292.70","286.90","286.90","-1.86%"
"Mar 12, 1999","292.35","294.45","292.35","292.35","-0.61%"
"Mar 11, 1999","294.15","292.75","294.15","294.15","0.38%"
"Mar 10, 1999","293.05","292.00","293.05","293.05","0.38%"
"Mar 09, 1999","291.95","291.45","291.95","291.95","0.24%"
"Mar 08, 1999","291.25","288.10","291.25","291.25","1.08%"
"Mar 05, 1999","288.15","288.35","288.15","288.15","0.07%"
"Mar 04, 1999","287.95","286.55","287.95","287.95","0.31%"
"Mar 03, 1999","287.05","286.85","287.05","287.05","0.03%"
"Mar 02, 1999","286.95","286.45","286.95","286.95","0.16%"
"Mar 01, 1999","286.50","286.90","286.50","286.50","-0.10%"
"Feb 26, 1999","286.80","287.80","286.80","286.80","-0.33%"
"Feb 25, 1999","287.75","287.75","287.75","287.75","0.00%"
"Feb 24, 1999","287.75","287.35","287.75","287.75","0.17%"
"Feb 23, 1999","287.25","287.05","287.25","287.25","0.03%"
"Feb 22, 1999","287.15","287.60","287.15","287.15","-0.38%"
"Feb 19, 1999","288.25","286.35","288.25","288.25","0.87%"
"Feb 18, 1999","285.75","285.05","285.75","285.75","0.32%"
"Feb 17, 1999","284.85","284.35","284.85","284.85","-0.21%"
"Feb 16, 1999","285.45","288.85","285.45","285.45","-1.40%"
"Feb 15, 1999","289.50","289.40","289.50","289.50","-0.02%"
"Feb 12, 1999","289.55","287.65","289.55","289.55","0.63%"
"Feb 11, 1999","287.75","287.10","287.75","287.75","0.17%"
"Feb 10, 1999","287.25","287.50","287.25","287.25","-0.14%"
"Feb 09, 1999","287.65","289.05","287.65","287.65","-0.64%"
"Feb 08, 1999","289.50","288.75","289.50","289.50","0.33%"
"Feb 05, 1999","288.55","289.55","288.55","288.55","-0.31%"
"Feb 04, 1999","289.45","287.50","289.45","289.45","0.66%"
"Feb 03, 1999","287.55","288.45","287.55","287.55","-0.38%"
"Feb 02, 1999","288.65","288.65","288.65","288.65","-0.03%"
"Feb 01, 1999","288.75","286.65","288.75","288.75","0.84%"
"Jan 29, 1999","286.35","284.35","286.35","286.35","0.77%"
"Jan 28, 1999","284.15","283.30","284.15","284.15","0.28%"
"Jan 27, 1999","283.35","286.05","283.35","283.35","-0.98%"
"Jan 26, 1999","286.15","287.75","286.15","286.15","-0.59%"
"Jan 25, 1999","287.85","286.45","287.85","287.85","0.45%"
"Jan 22, 1999","286.55","287.60","286.55","286.55","-0.42%"
"Jan 21, 1999","287.75","287.15","287.75","287.75","0.17%"
