"Date","Price","Open","High","Low","Change %"
"Jan 20, 1999","287.25","286.65","287.25","287.25","0.24%"
"Jan 19, 1999","286.55","287.05","286.55","286.55","-0.14%"
"Jan 18, 1999","286.95","286.65","286.95","286.95","-0.03%"
"Jan 15, 1999","287.05","286.55","287.05","287.05","0.07%"
"Jan 14, 1999","286.85","286.25","286.85","286.85","-0.03%"
"Jan 13, 1999","286.95","288.85","286.95","286.95","-0.55%"
"Jan 12, 1999","288.55","292.90","288.55","288.55","-1.49%"
"Jan 11, 1999","292.90","291.50","292.90","292.90","0.57%"
"Jan 08, 1999","291.25","291.05","291.25","291.25","-0.10%"
"Jan 07, 1999","291.55","288.25","291.55","291.55","1.32%"
"Jan 06, 1999","287.75","287.00","287.75","287.75","0.28%"
"Jan 05, 1999","286.95","287.65","286.95","286.95","-0.14%"
"Jan 04, 1999","287.35","288.55","287.35","287.35","-0.31%"
"Dec 31, 1998","288.25","287.25","288.25","288.25","0.38%"
"Dec 30, 1998","287.15","286.25","287.15","287.15","0.31%"
"Dec 29, 1998","286.25","286.65","286.25","286.25","-0.17%"
"Dec 28, 1998","286.75","286.35","286.75","286.75","0.00%"
"Dec 25, 1998","286.75","286.25","286.75","286.75","0.14%"
"Dec 24, 1998","286.35","286.95","286.35","286.35","-0.14%"
"Dec 23, 1998","286.75","288.25","286.75","286.75","-0.47%"
"Dec 22, 1998","288.10","288.85","288.10","288.10","-0.29%"
"Dec 21, 1998","288.95","289.65","288.95","288.95","-0.10%"
"Dec 18, 1998","289.25","291.80","289.25","289.25","-0.86%"
"Dec 17, 1998","291.75","295.75","291.75","291.75","-1.12%"
"Dec 16, 1998","295.05","292.85","295.05","295.05","0.79%"
"Dec 15, 1998","292.75","291.35","292.75","292.75","0.48%"
"Dec 14, 1998","291.35","291.15","291.35","291.35","0.17%"
"Dec 11, 1998","290.85","294.70","290.85","290.85","-1.16%"
"Dec 10, 1998","294.25","294.15","294.25","294.25","0.07%"
"Dec 09, 1998","294.05","293.90","294.05","294.05","0.14%"
"Dec 08, 1998","293.65","294.85","293.65","293.65","-0.51%"
"Dec 07, 1998","295.15","292.15","295.15","295.15","0.91%"
"Dec 04, 1998","292.50","292.05","292.50","292.50","0.22%"
"Dec 03, 1998","291.85","293.25","291.85","291.85","-0.41%"
"Dec 02, 1998","293.05","293.75","293.05","293.05","-0.24%"
"Dec 01, 1998","293.75","293.15","293.75","293.75","0.27%"
"Nov 30, 1998","292.95","296.10","292.95","292.95","-0.98%"
"Nov 27, 1998","295.85","296.15","295.85","295.85","-0.24%"
"Nov 26, 1998","296.55","296.40","296.55","296.55","-0.02%"
"Nov 25, 1998","296.60","296.30","296.60","296.60","0.14%"
"Nov 24, 1998","296.20","296.65","296.20","296.20","-0.17%"
"Nov 23, 1998","296.70","296.00","296.70","296.70","0.22%"
"Nov 20, 1998","296.05","295.85","296.05","296.05","0.10%"
"Nov 19, 1998","295.75","296.80","295.75","295.75","-0.50%"
"Nov 18, 1998","297.25","294.05","297.25","297.25","0.92%"
"Nov 17, 1998","294.55","294.80","294.55","294.55","-0.14%"
"Nov 16, 1998","294.95","295.75","294.95","294.95","-0.30%"
"Nov 13, 1998","295.85","296.75","295.85","295.85","-0.30%"
"Nov 12, 1998","296.75","293.40","296.75","296.75","1.30%"
"Nov 11, 1998","292.95","293.35","292.95","292.95","-0.10%"
"Nov 10, 1998","293.25","292.75","293.25","293.25","0.17%"
"Nov 09, 1998","292.75","292.85","292.75","292.75","-0.10%"
"Nov 06, 1998","293.05","293.65","293.05","293.05","-0.31%"
"Nov 05, 1998","293.95","290.85","293.95","293.95","1.10%"
"Nov 04, 1998","290.75","288.95","290.75","290.75","0.55%"
"Nov 03, 1998","289.15","290.00","289.15","289.15","-0.38%"
"Nov 02, 1998","290.25","292.75","290.25","290.25","-0.79%"
"Oct 30, 1998","292.55","293.65","292.55","292.55","-0.37%"
"Oct 29, 1998","293.65","293.20","293.65","293.65","0.20%"
"Oct 28, 1998","293.05","293.70","293.05","293.05","-0.20%"
"Oct 27, 1998","293.65","292.15","293.65","293.65","0.39%"
"Oct 26, 1998","292.50","292.80","292.50","292.50","-0.15%"
"Oct 23, 1998","292.95","292.35","292.95","292.95","0.14%"
"Oct 22, 1998","292.55","295.35","292.55","292.55","-0.91%"
"Oct 21, 1998","295.25","296.60","295.25","295.25","-0.34%"
"Oct 20, 1998","296.25","295.95","296.25","296.25","0.03%"
"Oct 19, 1998","296.15","299.95","296.15","296.15","-1.27%"
"Oct 16, 1998","299.95","300.00","299.95","299.95","0.15%"
"Oct 15, 1998","299.50","296.10","299.50","299.50","1.13%"
"Oct 14, 1998","296.15","296.70","296.15","296.15","-0.13%"
"Oct 13, 1998","296.55","296.35","296.55","296.55","0.10%"
"Oct 12, 1998","296.25","296.70","296.25","296.25","-0.17%"
"Oct 09, 1998","296.75","301.55","296.75","296.75","-0.97%"
"Oct 08, 1998","299.65","301.30","299.65","299.65","-0.63%"
"Oct 07, 1998","301.55","296.80","301.55","301.55","1.79%"
"Oct 06, 1998","296.25","296.25","296.25","296.25","-0.13%"
"Oct 05, 1998","296.65","300.35","296.65","296.65","-1.30%"
"Oct 02, 1998","300.55","300.20","300.55","300.55","0.23%"
"Oct 01, 1998","299.85","296.55","299.85","299.85","0.98%"
"Sep 30, 1998","296.95","294.95","296.95","296.95","0.75%"
"Sep 29, 1998","294.75","296.15","294.75","294.75","-0.34%"
"Sep 28, 1998","295.75","294.25","295.75","295.75","0.54%"
"Sep 25, 1998","294.15","293.95","294.15","294.15","0.00%"
"Sep 24, 1998","294.15","289.75","294.15","294.15","1.52%"
"Sep 23, 1998","289.75","287.75","289.75","289.75","0.66%"
"Sep 22, 1998","287.85","288.75","287.85","287.85","-0.38%"
"Sep 21, 1998","288.95","290.65","288.95","288.95","-0.86%"
"Sep 18, 1998","291.45","291.50","291.45","291.45","0.00%"
"Sep 17, 1998","291.45","287.90","291.45","291.45","1.25%"
"Sep 16, 1998","287.85","289.45","287.85","287.85","-0.72%"
"Sep 15, 1998","289.95","290.05","289.95","289.95","-0.14%"
"Sep 14, 1998","290.35","292.70","290.35","290.35","-1.16%"
"Sep 11, 1998","293.75","290.75","293.75","293.75","1.14%"
"Sep 10, 1998","290.45","284.25","290.45","290.45","2.18%"
"Sep 09, 1998","284.25","286.10","284.25","284.25","-0.63%"
"Sep 08, 1998","286.05","288.25","286.05","286.05","-0.83%"
"Sep 07, 1998","288.45","287.05","288.45","288.45","0.56%"
"Sep 04, 1998","286.85","285.20","286.85","286.85","0.67%"
"Sep 03, 1998","284.95","280.10","284.95","284.95","1.71%"
"Sep 02, 1998","280.15","278.80","280.15","280.15","0.47%"
"Sep 01, 1998","278.85","277.35","278.85","278.85","0.80%"
"Aug 31, 1998","276.65","274.15","276.65","276.65","0.84%"
"Aug 28, 1998","274.35","277.05","274.35","274.35","-0.80%"
"Aug 27, 1998","276.55","281.85","276.55","276.55","-2.02%"
"Aug 26, 1998","282.25","283.25","282.25","282.25","-0.28%"
"Aug 25, 1998","283.05","284.65","283.05","283.05","-0.56%"
"Aug 24, 1998","284.65","284.25","284.65","284.65","-0.05%"
"Aug 21, 1998","284.80","284.75","284.80","284.80","-0.12%"
"Aug 20, 1998","285.15","283.55","285.15","285.15","0.64%"
"Aug 19, 1998","283.35","285.25","283.35","283.35","-0.56%"
"Aug 18, 1998","284.95","285.00","284.95","284.95","-0.04%"
"Aug 17, 1998","285.05","283.80","285.05","285.05","0.35%"
"Aug 14, 1998","284.05","285.65","284.05","284.05","-0.46%"
"Aug 13, 1998","285.35","283.00","285.35","285.35","0.92%"
"Aug 12, 1998","282.75","284.05","282.75","282.75","-0.42%"
"Aug 11, 1998","283.95","286.85","283.95","283.95","-1.22%"
"Aug 10, 1998","287.45","286.85","287.45","287.45","0.28%"
"Aug 07, 1998","286.65","287.55","286.65","286.65","-0.24%"
"Aug 06, 1998","287.35","287.75","287.35","287.35","-0.21%"
"Aug 05, 1998","287.95","288.55","287.95","287.95","-0.35%"
"Aug 04, 1998","288.95","283.50","288.95","288.95","1.79%"
"Aug 03, 1998","283.88","286.62","283.88","283.88","-0.90%"
"Jul 31, 1998","286.45","288.75","286.45","286.45","-1.05%"
"Jul 30, 1998","289.50","290.30","289.50","289.50","-0.19%"
"Jul 29, 1998","290.05","291.65","290.05","290.05","-0.58%"
"Jul 28, 1998","291.75","289.75","291.75","291.75","0.48%"
"Jul 27, 1998","290.35","291.50","290.35","290.35","-0.38%"
"Jul 24, 1998","291.45","293.75","291.45","291.45","-0.66%"
"Jul 23, 1998","293.40","294.25","293.40","293.40","-0.25%"
"Jul 22, 1998","294.15","295.05","294.15","294.15","-0.24%"
"Jul 21, 1998","294.85","295.85","294.85","294.85","-0.44%"
"Jul 20, 1998","296.15","294.50","296.15","296.15","0.56%"
"Jul 17, 1998","294.50","293.40","294.50","294.50","0.36%"
"Jul 16, 1998","293.45","293.65","293.45","293.45","-0.10%"
"Jul 15, 1998","293.75","293.45","293.75","293.75","0.20%"
"Jul 14, 1998","293.15","291.85","293.15","293.15","0.51%"
"Jul 13, 1998","291.65","289.85","291.65","291.65","0.28%"
"Jul 10, 1998","290.85","291.25","290.85","290.85","-0.29%"
"Jul 09, 1998","291.70","293.35","291.70","291.70","-0.53%"
"Jul 08, 1998","293.25","295.15","293.25","293.25","-0.61%"
"Jul 07, 1998","295.05","293.35","295.05","295.05","0.61%"
"Jul 06, 1998","293.25","294.10","293.25","293.25","-0.51%"
"Jul 03, 1998","294.75","293.95","294.75","294.75","0.31%"
"Jul 02, 1998","293.85","296.35","293.85","293.85","-0.88%"
"Jul 01, 1998","296.45","296.95","296.45","296.45","-0.17%"
"Jun 30, 1998","296.95","293.45","296.95","296.95","1.12%"
"Jun 29, 1998","293.65","293.15","293.65","293.65","-0.07%"
"Jun 26, 1998","293.85","293.65","293.85","293.85","-0.02%"
"Jun 25, 1998","293.90","292.45","293.90","293.90","0.36%"
"Jun 24, 1998","292.85","294.80","292.85","292.85","-0.75%"
"Jun 23, 1998","295.05","295.65","295.05","295.05","-0.14%"
"Jun 22, 1998","295.45","297.00","295.45","295.45","-1.10%"
"Jun 19, 1998","298.75","293.15","298.75","298.75","1.88%"
"Jun 18, 1998","293.25","293.65","293.25","293.25","-0.07%"
"Jun 17, 1998","293.45","288.80","293.45","293.45","1.66%"
"Jun 16, 1998","288.65","284.55","288.65","288.65","1.33%"
"Jun 15, 1998","284.85","285.55","284.85","284.85","-0.40%"
"Jun 12, 1998","286.00","286.60","286.00","286.00","-0.30%"
"Jun 11, 1998","286.85","292.85","286.85","286.85","-2.18%"
"Jun 10, 1998","293.25","293.50","293.25","293.25","-0.14%"
"Jun 09, 1998","293.65","295.35","293.65","293.65","-0.88%"
"Jun 08, 1998","296.25","291.70","296.25","296.25","1.58%"
"Jun 05, 1998","291.65","293.50","291.65","291.65","-0.70%"
"Jun 04, 1998","293.70","292.95","293.70","293.70","0.19%"
"Jun 03, 1998","293.15","291.35","293.15","293.15","0.60%"
"Jun 02, 1998","291.40","288.20","291.40","291.40","1.02%"
"Jun 01, 1998","288.45","293.10","288.45","288.45","-1.54%"
"May 29, 1998","292.95","293.00","292.95","292.95","-0.05%"
"May 28, 1998","293.10","294.00","293.10","293.10","-0.26%"
"May 27, 1998","293.85","295.10","293.85","293.85","-0.58%"
"May 26, 1998","295.55","299.55","295.55","295.55","-1.40%"
"May 25, 1998","299.75","299.60","299.75","299.75","-0.03%"
"May 22, 1998","299.85","301.75","299.85","299.85","-0.43%"
"May 21, 1998","301.15","299.45","301.15","301.15","0.50%"
"May 20, 1998","299.65","298.55","299.65","299.65","0.33%"
"May 19, 1998","298.65","299.25","298.65","298.65","-0.30%"
"May 18, 1998","299.55","301.00","299.55","299.55","-0.56%"
"May 15, 1998","301.25","298.90","301.25","301.25","0.70%"
"May 14, 1998","299.15","298.55","299.15","299.15","0.23%"
"May 13, 1998","298.45","298.00","298.45","298.45","0.18%"
"May 12, 1998","297.90","300.20","297.90","297.90","-0.82%"
"May 11, 1998","300.35","299.65","300.35","300.35","0.17%"
"May 08, 1998","299.85","298.60","299.85","299.85","0.44%"
"May 07, 1998","298.55","300.60","298.55","298.55","-0.73%"
"May 06, 1998","300.75","303.25","300.75","300.75","-0.86%"
"May 05, 1998","303.35","303.75","303.35","303.35","-0.33%"
"May 04, 1998","304.35","302.75","304.35","304.35","0.69%"
"May 01, 1998","302.25","306.85","302.25","302.25","-1.43%"
"Apr 30, 1998","306.65","310.15","306.65","306.65","-1.16%"
"Apr 29, 1998","310.25","308.05","310.25","310.25","0.75%"
"Apr 28, 1998","307.95","309.85","307.95","307.95","-0.55%"
"Apr 27, 1998","309.65","312.45","309.65","309.65","-0.96%"
"Apr 24, 1998","312.65","314.10","312.65","312.65","-0.45%"
"Apr 23, 1998","314.05","312.85","314.05","314.05","0.26%"
"Apr 22, 1998","313.25","310.65","313.25","313.25","0.80%"
"Apr 21, 1998","310.75","307.85","310.75","310.75","0.91%"
"Apr 20, 1998","307.95","306.95","307.95","307.95","0.06%"
"Apr 17, 1998","307.75","308.15","307.75","307.75","-0.13%"
"Apr 16, 1998","308.15","306.95","308.15","308.15","0.29%"
"Apr 15, 1998","307.25","308.35","307.25","307.25","-0.32%"
"Apr 14, 1998","308.25","310.85","308.25","308.25","-0.87%"
"Apr 13, 1998","310.95","310.50","310.95","310.95","0.06%"
"Apr 10, 1998","310.75","308.50","310.75","310.75","0.75%"
"Apr 09, 1998","308.45","309.30","308.45","308.45","-0.29%"
"Apr 08, 1998","309.35","310.05","309.35","309.35","-0.13%"
"Apr 07, 1998","309.75","309.35","309.75","309.75","0.23%"
"Apr 06, 1998","309.05","308.05","309.05","309.05","0.26%"
"Apr 03, 1998","308.25","302.10","308.25","308.25","1.99%"
"Apr 02, 1998","302.25","299.75","302.25","302.25","0.83%"
"Apr 01, 1998","299.75","300.95","299.75","299.75","-0.40%"
"Mar 31, 1998","300.95","301.40","300.95","300.95","-0.23%"
"Mar 30, 1998","301.65","302.75","301.65","301.65","-0.40%"
"Mar 27, 1998","302.85","301.10","302.85","302.85","0.43%"
"Mar 26, 1998","301.55","299.35","301.55","301.55","0.84%"
"Mar 25, 1998","299.05","299.25","299.05","299.05","-0.20%"
"Mar 24, 1998","299.65","298.35","299.65","299.65","0.23%"
"Mar 23, 1998","298.95","291.75","298.95","298.95","2.47%"
"Mar 20, 1998","291.75","291.30","291.75","291.75","0.07%"
"Mar 19, 1998","291.55","291.45","291.55","291.55","0.14%"
"Mar 18, 1998","291.15","292.05","291.15","291.15","-0.27%"
"Mar 17, 1998","291.95","294.45","291.95","291.95","-0.88%"
"Mar 16, 1998","294.55","295.50","294.55","294.55","-0.27%"
"Mar 13, 1998","295.35","294.45","295.35","295.35","0.27%"
"Mar 12, 1998","294.55","294.60","294.55","294.55","-0.02%"
"Mar 11, 1998","294.60","295.75","294.60","294.60","-0.47%"
"Mar 10, 1998","296.00","294.30","296.00","296.00","0.53%"
"Mar 09, 1998","294.45","294.15","294.45","294.45","0.00%"
"Mar 06, 1998","294.45","293.50","294.45","294.45","0.34%"
"Mar 05, 1998","293.45","296.00","293.45","293.45","-0.88%"
"Mar 04, 1998","296.05","297.55","296.05","296.05","-0.60%"
"Mar 03, 1998","297.85","299.50","297.85","297.85","-0.62%"
"Mar 02, 1998","299.70","299.40","299.70","299.70","0.18%"
"Feb 27, 1998","299.15","294.60","299.15","299.15","1.53%"
"Feb 26, 1998","294.65","291.85","294.65","294.65","0.89%"
"Feb 25, 1998","292.05","291.85","292.05","292.05","0.21%"
"Feb 24, 1998","291.45","293.45","291.45","291.45","-0.68%"
"Feb 23, 1998","293.45","296.75","293.45","293.45","-1.28%"
"Feb 20, 1998","297.25","298.85","297.25","297.25","-0.57%"
"Feb 19, 1998","298.95","297.85","298.95","298.95","0.47%"
"Feb 18, 1998","297.55","297.45","297.55","297.55","-0.15%"
"Feb 17, 1998","298.00","298.45","298.00","298.00","-0.08%"
"Feb 16, 1998","298.25","299.55","298.25","298.25","-0.53%"
"Feb 13, 1998","299.85","298.60","299.85","299.85","0.37%"
"Feb 12, 1998","298.75","300.45","298.75","298.75","-0.43%"
"Feb 11, 1998","300.05","300.55","300.05","300.05","-0.13%"
"Feb 10, 1998","300.45","299.80","300.45","300.45","0.23%"
"Feb 09, 1998","299.75","298.05","299.75","299.75","0.54%"
"Feb 06, 1998","298.15","298.75","298.15","298.15","-0.17%"
"Feb 05, 1998","298.65","299.10","298.65","298.65","-0.23%"
"Feb 04, 1998","299.35","295.45","299.35","299.35","1.35%"
"Feb 03, 1998","295.35","303.00","295.35","295.35","-2.51%"
"Feb 02, 1998","302.95","302.85","302.95","302.95","0.17%"
"Jan 30, 1998","302.45","302.25","302.45","302.45","-0.13%"
"Jan 29, 1998","302.85","305.50","302.85","302.85","-0.70%"
"Jan 28, 1998","305.00","300.60","305.00","305.00","1.41%"
"Jan 27, 1998","300.75","297.50","300.75","300.75","1.25%"
"Jan 26, 1998","297.05","298.75","297.05","297.05","-0.86%"
"Jan 23, 1998","299.62","290.88","299.62","299.62","3.16%"
"Jan 22, 1998","290.45","293.00","290.45","290.45","-0.72%"
"Jan 21, 1998","292.55","291.35","292.55","292.55","0.72%"
"Jan 20, 1998","290.45","287.55","290.45","290.45","1.01%"
"Jan 19, 1998","287.55","290.55","287.55","287.55","-0.90%"
"Jan 16, 1998","290.15","286.25","290.15","290.15","1.61%"
"Jan 15, 1998","285.55","281.45","285.55","285.55","1.28%"
"Jan 14, 1998","281.95","283.15","281.95","281.95","-0.28%"
"Jan 13, 1998","282.75","277.80","282.75","282.75","1.65%"
"Jan 12, 1998","278.15","278.35","278.15","278.15","-0.18%"
"Jan 09, 1998","278.65","281.05","278.65","278.65","-0.82%"
"Jan 08, 1998","280.95","283.25","280.95","280.95","-1.02%"
"Jan 07, 1998","283.85","280.75","283.85","283.85","0.85%"
"Jan 06, 1998","281.45","281.85","281.45","281.45","-0.14%"
"Jan 05, 1998","281.85","287.65","281.85","281.85","-2.22%"
"Jan 02, 1998","288.25","288.85","288.25","288.25","-0.28%"
"Dec 31, 1997","289.05","290.45","289.05","289.05","-0.52%"
"Dec 30, 1997","290.55","291.25","290.55","290.55","-0.17%"
"Dec 29, 1997","291.05","295.25","291.05","291.05","-1.29%"
"Dec 26, 1997","294.85","296.25","294.85","294.85","-0.64%"
"Dec 25, 1997","296.75","296.50","296.75","296.75","0.10%"
"Dec 24, 1997","296.45","294.05","296.45","296.45","0.82%"
"Dec 23, 1997","294.05","291.55","294.05","294.05","1.03%"
"Dec 22, 1997","291.05","289.25","291.05","291.05","0.69%"
"Dec 19, 1997","289.05","287.05","289.05","289.05","0.59%"
"Dec 18, 1997","287.35","288.15","287.35","287.35","-0.62%"
"Dec 17, 1997","289.15","284.05","289.15","289.15","1.97%"
"Dec 16, 1997","283.55","284.05","283.55","283.55","-0.28%"
"Dec 15, 1997","284.35","282.55","284.35","284.35","0.53%"
"Dec 12, 1997","282.85","283.95","282.85","282.85","-0.42%"
"Dec 11, 1997","284.05","286.75","284.05","284.05","-0.91%"
"Dec 10, 1997","286.65","283.15","286.65","286.65","1.38%"
"Dec 09, 1997","282.75","287.55","282.75","282.75","-1.77%"
"Dec 08, 1997","287.85","288.15","287.85","287.85","-0.14%"
"Dec 05, 1997","288.25","286.25","288.25","288.25","0.70%"
"Dec 04, 1997","286.25","292.15","286.25","286.25","-2.09%"
"Dec 03, 1997","292.35","293.50","292.35","292.35","-0.51%"
"Dec 02, 1997","293.85","293.65","293.85","293.85","0.00%"
"Dec 01, 1997","293.85","297.25","293.85","293.85","-1.06%"
"Nov 28, 1997","297.00","295.95","297.00","297.00","0.34%"
"Nov 27, 1997","296.00","296.80","296.00","296.00","-0.25%"
"Nov 26, 1997","296.75","299.80","296.75","296.75","-1.20%"
"Nov 25, 1997","300.35","302.85","300.35","300.35","-0.86%"
"Nov 24, 1997","302.95","304.85","302.95","302.95","-0.66%"
"Nov 21, 1997","304.95","303.25","304.95","304.95","0.69%"
"Nov 20, 1997","302.85","304.25","302.85","302.85","-0.39%"
"Nov 19, 1997","304.05","306.15","304.05","304.05","-0.88%"
"Nov 18, 1997","306.75","303.85","306.75","306.75","0.95%"
"Nov 17, 1997","303.85","303.25","303.85","303.85","0.16%"
"Nov 14, 1997","303.35","308.15","303.35","303.35","-1.46%"
"Nov 13, 1997","307.85","307.45","307.85","307.85","0.13%"
"Nov 12, 1997","307.45","309.75","307.45","307.45","-0.74%"
"Nov 11, 1997","309.75","310.15","309.75","309.75","-0.13%"
"Nov 10, 1997","310.15","309.75","310.15","310.15","-0.03%"
"Nov 07, 1997","310.25","312.50","310.25","310.25","-0.70%"
"Nov 06, 1997","312.45","313.45","312.45","312.45","-0.35%"
"Nov 05, 1997","313.55","313.95","313.55","313.55","-0.10%"
"Nov 04, 1997","313.85","313.70","313.85","313.85","0.13%"
"Nov 03, 1997","313.45","311.75","313.45","313.45","0.64%"
"Oct 31, 1997","311.45","316.25","311.45","311.45","-1.58%"
"Oct 30, 1997","316.45","313.35","316.45","316.45","0.83%"
"Oct 29, 1997","313.85","316.25","313.85","313.85","-0.60%"
"Oct 28, 1997","315.75","311.25","315.75","315.75","1.25%"
"Oct 27, 1997","311.85","309.25","311.85","311.85","0.92%"
"Oct 24, 1997","309.00","323.50","309.00","309.00","-4.53%"
"Oct 23, 1997","323.65","322.60","323.65","323.65","0.37%"
"Oct 22, 1997","322.45","322.75","322.45","322.45","-0.08%"
"Oct 21, 1997","322.70","323.50","322.70","322.70","-0.29%"
"Oct 20, 1997","323.65","325.25","323.65","323.65","-0.49%"
"Oct 17, 1997","325.25","326.10","325.25","325.25","-0.18%"
"Oct 16, 1997","325.85","326.85","325.85","325.85","-0.34%"
"Oct 15, 1997","326.95","327.95","326.95","326.95","-0.30%"
"Oct 14, 1997","327.95","328.75","327.95","327.95","-0.15%"
"Oct 13, 1997","328.45","329.95","328.45","328.45","-0.36%"
"Oct 10, 1997","329.65","327.45","329.65","329.65","0.58%"
